CountryCode,Year,adolescent_fertility_rate,birth_rate_per_1000_people,CO2_emissions_kt,CO2_emissions_metric_tons_per_capita,hospital_beds_per_1000_people,total_population,GDP,GDP_per_capita,land_area_sq_km,population_density_people_per_sq_km_of_land_area,GDP_growth_annual,GDP_per_capita_growth_annual,adult_literacy_rate,unemployment_rate,gini_index,income_share_held_by_highest_20_percent,income_share_held_by_lowest_20_percent,tax_revenue_percent_of_GDP,health_expenditure_per_capita
LBN,1960,84.7344,38.374,2581.568,1.4302894244476398,4.58133935928345,1804927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LSO,1960,82.6836,42.222,NA,NA,1.1037204265594498,851412,24700000,29.0106317505508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBR,1960,225.535,49.024,165.015,0.14729352663628198,1.322425365448,1120314,190495600,170.037685863071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBY,1960,118.31,50.397,693.063,0.48311347743165906,2.7553744316101096,1434576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,1960,NA,23.1,NA,NA,NA,16504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTU,1960,16.42,22.5,NA,NA,NA,2778550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUX,1960,25.9454,16,11518.047,36.685183297767296,NA,313970,872493120,2778.90601012836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAC,1960,13.609,30.874,51.338,0.299423758865248,10.1213865280151,171456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,1960,37.2764,29.665,NA,NA,NA,1488664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDG,1960,155.49,48.703,399.703,0.0783828044674529,2.4061858654022203,5099371,33230448600,6516.577946574201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWI,1960,185.5414,51.8,NA,NA,1.11873054504395,3618604,116400000,32.1671009041056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYS,1960,75.4246,40.987,NA,NA,3.72813272476196,8160975,5866000000,718.786664583582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDV,1960,206.4318,54.707,NA,NA,NA,89875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,1960,199.98,50.189,121.011,0.0229895910314549,0.6685057282447809,5263730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLT,1960,20.649,26.2,341.031,1.04434542949012,9.2583589553833,326550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHL,1960,NA,NA,NA,NA,NA,14665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRT,1960,148.473,49.35,36.67,0.0427304613305056,0.20484359562397,858170,4572109100,5327.74287145904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MUS,1960,127.2472,44.208,179.683,0.272514942723982,4.71666669845581,659351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,1960,116.4508,45.529,63116.404,1.65338228937023,NA,38174114,163202064,4.275202405483459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FSM,1960,75.3684,43.567,NA,NA,NA,44539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,1960,32.8038,27.697,NA,NA,NA,2544000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCO,1960,NA,NA,NA,NA,NA,22454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNG,1960,77.5018,45.987,1294.451,1.35471693769008,8.681960105896,955514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNE,1960,37.837,28.965,NA,NA,NA,474203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAR,1960,151.1612,51.142,3641.331,0.29535798822471504,1.5984001159668002,12328534,10309001200,833.974409794704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
